index,name,tcn_channels,gate_pos_weight,nt_start,nt_end,aux_weight,min_trade_probability,min_direction_probability
81,tcn_sig_c32_gp0p3_nt8to25_aux0p0_mtp0p55,32,0.3,8.0,25.0,0.0,0.55,0.4
82,tcn_sig_c64_gp0p3_nt8to25_aux0p0_mtp0p55,64,0.3,8.0,25.0,0.0,0.55,0.4
83,tcn_sig_c32_gp0p3_nt8to25_aux0p0_mtp0p65,32,0.3,8.0,25.0,0.0,0.65,0.4
84,tcn_sig_c64_gp0p3_nt8to25_aux0p0_mtp0p65,64,0.3,8.0,25.0,0.0,0.65,0.4
85,tcn_sig_c32_gp0p3_nt8to25_aux0p03_mtp0p55,32,0.3,8.0,25.0,0.03,0.55,0.4
86,tcn_sig_c64_gp0p3_nt8to25_aux0p03_mtp0p55,64,0.3,8.0,25.0,0.03,0.55,0.4
87,tcn_sig_c32_gp0p3_nt8to25_aux0p03_mtp0p65,32,0.3,8.0,25.0,0.03,0.65,0.4
88,tcn_sig_c64_gp0p3_nt8to25_aux0p03_mtp0p65,64,0.3,8.0,25.0,0.03,0.65,0.4
89,tcn_sig_c32_gp0p3_nt10to35_aux0p0_mtp0p55,32,0.3,10.0,35.0,0.0,0.55,0.4
90,tcn_sig_c64_gp0p3_nt10to35_aux0p0_mtp0p55,64,0.3,10.0,35.0,0.0,0.55,0.4
91,tcn_sig_c32_gp0p3_nt10to35_aux0p0_mtp0p65,32,0.3,10.0,35.0,0.0,0.65,0.4
92,tcn_sig_c64_gp0p3_nt10to35_aux0p0_mtp0p65,64,0.3,10.0,35.0,0.0,0.65,0.4
93,tcn_sig_c32_gp0p3_nt10to35_aux0p03_mtp0p55,32,0.3,10.0,35.0,0.03,0.55,0.4
94,tcn_sig_c64_gp0p3_nt10to35_aux0p03_mtp0p55,64,0.3,10.0,35.0,0.03,0.55,0.4
95,tcn_sig_c32_gp0p3_nt10to35_aux0p03_mtp0p65,32,0.3,10.0,35.0,0.03,0.65,0.4
96,tcn_sig_c64_gp0p3_nt10to35_aux0p03_mtp0p65,64,0.3,10.0,35.0,0.03,0.65,0.4
